Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:03561690000:D	5	Unshipped		Long Beach=5
A+1:03567780000:D	0	Unshipped		Long Beach=0
A+1:03519410000:D	0	Unshipped		Long Beach=0
A+1:03566030000:D	0	Unshipped		Long Beach=0
A+1:03564390000:D	0	Unshipped		Long Beach=0
A+1:03565270000:D	0	Unshipped		Long Beach=0
A+1:03519570000:D	9	Unshipped		Long Beach=9
A+1:03567210000:D	172	Unshipped		Long Beach=172
A+1:03561680000:D	26	Unshipped		Long Beach=26
A+1:03507130000:D	9	Unshipped		Long Beach=9
A+1:03571630000:D	0	Unshipped		Long Beach=0
A+1:03565200000:D	0	Unshipped		Long Beach=0
A+1:03573360000:D	0	Unshipped		Long Beach=0
A+1:03565190000:D	0	Unshipped		Long Beach=0
A+1:03507100000:D	164	Unshipped		Long Beach=164
A+1:03507110000:D	110	Unshipped		Long Beach=110
A+1:15493340000:D	374	Unshipped		Long Beach=374
A+1:03500070000:D	3	Unshipped		Long Beach=3
A+1:15488290000:D	508	Unshipped		Long Beach=508
A+1:15488970000:D	600	Unshipped		Long Beach=600
A+1:15493330000:D	99	Unshipped		Long Beach=99
A+1:15488300000:D	95	Unshipped		Long Beach=95
A+1:03503850000:D	303	Unshipped		Long Beach=303
A+1:15481260000:D	347	Unshipped		Long Beach=347
A+1:03503840000:D	309	Unshipped		Long Beach=309
A+1:03503100000:D	0	Unshipped		Long Beach=0
A+1:15490590000:D	320	Unshipped		Long Beach=320
A+1:15500640000:D	0	Unshipped		Long Beach=0
A+1:15489450000:D	132	Unshipped		Long Beach=132
A+1:15474650000:D	120	Unshipped		Long Beach=120
A+1:15482680000:D	92	Unshipped		Long Beach=92
A+1:03500060000:D	40	Unshipped		Long Beach=40
A+1:15494430000:D	356	Unshipped		Long Beach=356
A+1:15491150000:D	247	Unshipped		Long Beach=247
A+1:03528560000:D	0	Unshipped		Long Beach=0
A+1:03524820000:D	0	Unshipped		Long Beach=0
A+1:03503180000:D	680	Unshipped		Long Beach=680
A+1:15481240000:D	222	Unshipped		Long Beach=222
A+1:15489460000:D	0	Unshipped		Long Beach=0
A+1:15484690000:D	0	Unshipped		Long Beach=0
A+1:15483040000:D	807	Unshipped		Long Beach=807
A+1:03504430000:D	5899	Unshipped		Long Beach=5899
A+1:03504350000:D	0	Unshipped		Long Beach=0
A+1:03522260000:D	52	Unshipped		Long Beach=52
A+1:03503740000:D	0	Unshipped		Long Beach=0
A+1:03504370000:D	206	Unshipped		Long Beach=206
A+1:15497490000:D	121	Unshipped		Long Beach=121
A+1:15483050000:D	190	Unshipped		Long Beach=190
A+1:03528830000:D	1667	Unshipped		Long Beach=1667
A+1:03500240000:D	868	Unshipped		Long Beach=868
A+1:15481190000:D	2159	Unshipped		Long Beach=2159
A+1:15448440000:D	0	Unshipped		Long Beach=0
A+1:03503170000:D	1406	Unshipped		Long Beach=1406
A+1:15491140000:D	327	Unshipped		Long Beach=327
A+1:03517530000:D	0	Unshipped		Long Beach=0
A+1:15481230000:D	34	Unshipped		Long Beach=34
A+1:15490420000:D	518	Unshipped		Long Beach=518
A+1:15483510000:D	8	Unshipped		Long Beach=8
